"","iso2","geo","citizen","sum","pop","perU","sq","cit.code"
"72","ES","Spain","Serbia",5,42547451,0.00587579265324261,0,"cit.Serb"
"73","ES","Spain","Somalia",60,42547451,0.0705095118389113,0,"cit.Soma"
"74","ES","Spain","Stateless",0,42547451,0,0,"cit.Stat"
"75","ES","Spain","Syria",3160,42547451,3.71350095684933,4,"cit.Syri"
"76","ES","Spain","Ukraine",1310,42547451,1.53945767514956,2,"cit.Ukra"
"77","ES","Spain","Kosovo (under United Nations Security Council Resolution 1244/99)",0,42547451,0,0,"cit.Koso"
"78","ES","Spain","Total",6655,42547451,8,2,"cit.Tota"
"79","FR","France","Afghanistan",370,62292241,0.296987228313074,0,"cit.Afgh"
"80","FR","France","Albania",1265,62292241,1.01537525355686,1,"cit.Alba"
"81","FR","France","Eritrea",605,62292241,0.485614251701107,0,"cit.Erit"
"82","FR","France","Iraq",1325,62292241,1.06353534463466,1,"cit.Iraq"
"83","FR","France","Libya",300,62292241,0.240800455388979,0,"cit.Liby"
"84","FR","France","Pakistan",815,62292241,0.654174570473392,1,"cit.Paki"
"85","FR","France","Serbia",290,62292241,0.232773773542679,0,"cit.Serb"
"86","FR","France","Somalia",490,62292241,0.393307410468665,0,"cit.Soma"
"87","FR","France","Stateless",150,62292241,0.120400227694489,0,"cit.Stat"
"88","FR","France","Syria",1475,62292241,1.18393557232914,1,"cit.Syri"
"89","FR","France","Ukraine",840,62292241,0.67424127508914,1,"cit.Ukra"
"90","FR","France","Kosovo (under United Nations Security Council Resolution 1244/99)",2875,62292241,2.30767103081104,2,"cit.Koso"
"91","FR","France","Total",32155,62292241,26,19,"cit.Tota"
"92","HU","Hungary","Afghanistan",17910,10116742,88.5166390523748,89,"cit.Afgh"
"93","HU","Hungary","Albania",155,10116742,0.766056898554891,1,"cit.Alba"
"94","HU","Hungary","Eritrea",150,10116742,0.741345385698281,1,"cit.Erit"
"95","HU","Hungary","Iraq",3270,10116742,16.1613294082225,16,"cit.Iraq"
"96","HU","Hungary","Libya",35,10116742,0.172980589996266,0,"cit.Liby"
"97","HU","Hungary","Pakistan",3240,10116742,16.0130603310829,16,"cit.Paki"
"98","HU","Hungary","Serbia",65,10116742,0.321249667135922,0,"cit.Serb"
"99","HU","Hungary","Somalia",125,10116742,0.617787821415234,1,"cit.Soma"
"100","HU","Hungary","Stateless",10,10116742,0.0494230257132187,0,"cit.Stat"
"101","HU","Hungary","Syria",10975,10116742,54.2417707202576,54,"cit.Syri"
"102","HU","Hungary","Ukraine",20,10116742,0.0988460514264375,0,"cit.Ukra"
"103","HU","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)",23915,10116742,118.195165993163,118,"cit.Koso"
"104","HU","Hungary","Total",66785,10116742,330,34,"cit.Tota"
"105","IT","Italy","Afghanistan",1770,57495900,1.53924018930045,2,"cit.Afgh"
"106","IT","Italy","Albania",175,57495900,0.152184764478858,0,"cit.Alba"
"107","IT","Italy","Eritrea",195,57495900,0.169577308990728,0,"cit.Erit"
"108","IT","Italy","Iraq",195,57495900,0.169577308990728,0,"cit.Iraq"
"109","IT","Italy","Libya",110,57495900,0.0956589948152825,0,"cit.Liby"
"110","IT","Italy","Pakistan",2800,57495900,2.43495623166174,2,"cit.Paki"
"111","IT","Italy","Serbia",55,57495900,0.0478294974076412,0,"cit.Serb"
