code,en,fr,it,de,pt
cit.Paki,Pakistan,Pakistan,,,
title.slide,Asylum requests in 2015 through June,demandes d'asile y ont été déposées en 2015 jusqu'à juin,"domande d'asilo depositate nel 2015, fino a fine marzo","Asylgesuche, die bis im März 2015 eingereicht wurden",pedidos de asilo apresentados em 2015 até março
,,,,,
group.map,absolute count,nombres absolus,,,
